0,1,2,3,4
0,48,15,40,14
632,70,112,83,6
2,436,244,138,70
1114,1115,1116,2,1117
0,27,5,37,50
2,7,474,8,92
1395,2,0,87,56
11,5,489,30,737
721,2,52,37,112
0,1395,5,124,166
70,1512,13,3,706
29,24,17,14,44
797,1567,1568,798,482
803,676,453,1488,1575
804,427,1580,1581,805
1591,1592,1396,458,1525
6,523,1,70,1603
1625,815,816,817,1592
3,458,170,1498,11
822,529,1064,1645,226
29,160,115,5,18
1690,1088,538,307,833
1691,1692,621,489,49
835,8,520,1700,1701
176,838,23,839,540
1046,1692,1723,10,8
845,1745,11,1,1746
18,1767,53,1768,21
24,230,131,105,38
871,11,0,4,872
1823,1652,0,1824,797
24,230,105,5,0
5,1844,835,65,28
1679,1862,901,1863,1864
262,24,826,565,76
519,0,904,888,28
63,398,37,17,1898
1905,1906,815,1907,1761
75,164,644,103,462
120,1059,538,1919,201
1923,1042,1924,1925,393
427,520,1938,1939,658
571,1945,803,44,882
805,1914,1951,546,1902
70,1960,1961,1642,45
1968,1,352,775,511
0,1983,1930,1984,574
27,20,1998,1751,551
24,48,2,131,38
2023,0,327,107,544
0,2,1,4,10
0,321,7,11,68
0,1048,1874,2057,1958
3,11,2065,0,1
2085,1783,487,585,318
0,5,14,465,138
37,0,197,794,2124
2023,152,0,80,145
2030,407,173,2159,2160
89,0,53,584,2064
79,573,785,2172,2173
461,526,76,2176,2173
0,2,31,75,351
2206,1832,0,12,1797
461,4,50,7,1
2,2235,0,660,50
1058,97,1468,3,1
139,1864,1810,2252,2253
1706,949,363,121,2258
2259,1662,2260,972,2
778,447,573,1,2262
2,246,0,939,956
760,82,12,600,1968
2283,1927,818,2269,0
2176,1712,64,19,2219
1723,10,40,1345,623
4,2300,2301,436,8
88,567,1460,98,2182
2024,0,126,2327,2328
148,594,0,1360,465
15,5,0,2354,12
0,2,2206,1802,2372
14,138,0,2,1420
0,27,143,48,161
2,0,3,2398,1507
70,1359,2394,2301,1401
2418,462,340,577,591
592,10,515,1951,138
1114,1115,1116,2,1117
309,8,2425,2426,44
2429,2430,2431,901,2432
2429,2430,2431,901,2432
1085,2602,326,112,285
464,3,1735,1,2604
1026,85,741,257,2611
1993,1994,2417,1656,25
733,472,506,1970,1456
2299,19,1478,263,1928
5,80,95,48,24
14,2627,409,42,1
2629,2628,357,2637,1
24,1793,48,738,78
1028,70,2372,574,453
836,0,76,585,94
0,5,12,24,62
2,0,27,21,2327
5,3,0,7,2
475,2419,975,2324,736
76,4,23,0,10
0,75,2109,143,63
141,505,7,37,2
2416,2384,373,15,25
1028,1941,12,334,2426
451,1957,1938,1901,2288
7,0,176,1028,906
1026,2369,2658,2298,2645
1026,1023,206,357,354
2648,5,987,1737,30
2,687,1,40,121
266,10,124,11,2
2412,112,836,272,1073
585,2677,805,2260,155
2661,75,124,240,18
